,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
41,2021-01-09,QC,83278,83278.0,,0.97,0.97,,,,,,,
42,2021-01-09,MB,8694,7814.0,880.0,0.63,0.57,0.06,,,,,,
43,2021-01-09,SK,5516,4563.0,953.0,0.47,0.39,0.08,,,,,,
44,2021-01-09,AB,44298,43574.0,724.0,1.0,0.99,0.02,,,,,,
45,2021-01-09,BC,60215,60180.0,35.0,1.17,1.17,0.0,,,,,,
46,2021-01-09,YT,495,495.0,0.0,1.18,1.18,0.0,,,,,,
47,2021-01-09,NT,511,511.0,0.0,1.13,1.13,0.0,,,,,,
48,2021-01-09,NU,20,20.0,0.0,0.05,0.05,0.0,,,,,,
49,2021-01-16,CAN,564921,538173.0,26748.0,1.49,1.42,0.07,,,,,,
50,2021-01-16,NL,4250,2516.0,1734.0,0.81,0.48,0.33,,,,,,
