,Province,date,numconf,numprob,numdeaths,numtotal,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
0,ON,2020-01-31,3,0.0,0.0,3,,3,300.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
1,BC,2020-01-31,1,0.0,0.0,1,,1,100.0,0.02,0.0,0.0,0.0,100.0,1.0,0.02,,,,,,,,,,,,
2,CAN,2020-01-31,4,0.0,0.0,4,,4,400.0,0.01,0.0,0.0,0.0,100.0,4.0,0.01,,,,,,,,,,,,
3,ON,2020-02-08,3,0.0,0.0,3,,0,0.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
4,BC,2020-02-08,4,0.0,0.0,4,12.0,3,300.0,0.08,0.0,0.0,0.0,100.0,4.0,0.08,,,,,,,,,,,,
5,CAN,2020-02-08,7,0.0,0.0,7,2.0,3,75.0,0.02,0.0,0.0,0.0,100.0,7.0,0.02,,,,,,,,,,,,
6,ON,2020-02-16,3,0.0,0.0,3,,0,0.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
7,BC,2020-02-16,5,0.0,0.0,5,21.0,1,25.0,0.1,0.0,0.0,0.0,100.0,5.0,0.1,,,,,,,,,,,,
8,CAN,2020-02-16,8,0.0,0.0,8,3.0,1,14.29,0.02,0.0,0.0,0.0,100.0,8.0,0.02,,,,,,,,,,,,
9,ON,2020-02-21,3,0.0,0.0,3,,0,0.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
10,BC,2020-02-21,6,0.0,0.0,6,32.0,1,20.0,0.12,0.0,0.0,0.0,100.0,6.0,0.12,,,,,,,,,,,,
11,CAN,2020-02-21,9,0.0,0.0,9,4.0,1,12.5,0.02,0.0,0.0,0.0,100.0,9.0,0.02,,,,,,,,,,,,
12,ON,2020-02-24,4,0.0,0.0,4,,1,33.33,0.03,0.0,0.0,0.0,100.0,4.0,0.03,,,,,,,,,,,,
13,BC,2020-02-24,6,0.0,0.0,6,41.0,0,0.0,0.12,0.0,0.0,0.0,100.0,6.0,0.12,,,,,,,,,,,,
14,CAN,2020-02-24,10,0.0,0.0,10,6.0,1,11.11,0.03,0.0,0.0,0.0,100.0,10.0,0.03,,,,,,,,,,,,
15,ON,2020-02-25,4,0.0,0.0,4,,0,0.0,0.03,0.0,0.0,0.0,100.0,4.0,0.03,,,,,,,,,,,,
16,BC,2020-02-25,7,0.0,0.0,7,45.0,1,16.67,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
17,CAN,2020-02-25,11,0.0,0.0,11,6.0,1,10.0,0.03,0.0,0.0,0.0,100.0,11.0,0.03,,,,,,,,,,,,
18,ON,2020-02-26,5,0.0,0.0,5,,1,25.0,0.03,0.0,0.0,0.0,100.0,5.0,0.03,,,,,,,,,,,,
19,BC,2020-02-26,7,0.0,0.0,7,57.0,0,0.0,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
20,CAN,2020-02-26,12,0.0,0.0,12,8.0,1,9.09,0.03,0.0,0.0,0.0,100.0,12.0,0.03,,,,,,,,,,,,
21,ON,2020-02-27,6,0.0,0.0,6,,1,20.0,0.04,0.0,0.0,0.0,100.0,6.0,0.04,,,,,,,,,,,,
22,BC,2020-02-27,7,0.0,0.0,7,72.0,0,0.0,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
23,CAN,2020-02-27,13,0.0,0.0,13,10.0,1,8.33,0.03,0.0,0.0,0.0,100.0,13.0,0.03,,,,,,,,,,,,
24,ON,2020-02-29,8,0.0,0.0,8,,2,33.33,0.05,0.0,0.0,0.0,100.0,8.0,0.05,,,,,,,,,,,,
25,BC,2020-02-29,7,0.0,0.0,7,99.0,0,0.0,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
26,CAN,2020-02-29,15,0.0,0.0,15,13.0,2,15.38,0.04,0.0,0.0,0.0,100.0,15.0,0.04,,,,,,,,,,,,
27,ON,2020-03-01,15,0.0,0.0,15,,7,87.5,0.1,0.0,0.0,0.0,100.0,15.0,0.1,,,,,,,,,,,,
28,BC,2020-03-01,8,0.0,0.0,8,120.0,1,14.29,0.16,0.0,0.0,0.0,100.0,8.0,0.16,,,,,,,,,,,,
29,QC,2020-03-01,1,0.0,0.0,1,2.0,1,100.0,0.01,0.0,0.0,0.0,100.0,1.0,0.01,,,,,,,,,,,,
30,CAN,2020-03-01,24,0.0,0.0,24,17.0,9,60.0,0.06,0.0,0.0,0.0,100.0,24.0,0.06,,,,,,,,,,,,
31,ON,2020-03-03,20,0.0,0.0,20,,5,33.33,0.14,0.0,0.0,0.0,100.0,20.0,0.14,,,,,,,,,,,,
32,BC,2020-03-03,12,0.0,0.0,12,134.0,4,50.0,0.23,0.0,0.0,0.0,100.0,12.0,0.23,,,,,,,,,,,,
33,QC,2020-03-03,1,0.0,0.0,1,5.0,0,0.0,0.01,0.0,0.0,0.0,100.0,1.0,0.01,,,,,,,,,,,,
34,CAN,2020-03-03,33,0.0,0.0,33,19.0,9,37.5,0.09,0.0,0.0,0.0,100.0,33.0,0.09,,,,,,,,,,,,
35,ON,2020-03-05,22,0.0,0.0,22,,2,10.0,0.15,0.0,0.0,0.0,100.0,22.0,0.15,,,,,,,,,,,,
36,BC,2020-03-05,21,0.0,0.0,21,203.0,9,75.0,0.41,0.0,0.0,0.0,100.0,21.0,0.41,,,,,,,,,,,,
37,QC,2020-03-05,2,0.0,0.0,2,6.0,1,100.0,0.02,0.0,0.0,0.0,100.0,2.0,0.02,,,,,,,,,,,,
38,CAN,2020-03-05,45,0.0,0.0,45,29.0,12,36.36,0.12,0.0,0.0,0.0,100.0,45.0,0.12,,,,,,,,,,,,
39,ON,2020-03-06,28,0.0,0.0,28,,6,27.27,0.19,0.0,0.0,0.0,100.0,28.0,0.19,,,,,,,,,,,,
40,BC,2020-03-06,21,0.0,0.0,21,255.0,0,0.0,0.41,0.0,0.0,0.0,100.0,21.0,0.41,,,,,,,,,,,,
41,QC,2020-03-06,2,0.0,0.0,2,10.0,0,0.0,0.02,0.0,0.0,0.0,100.0,2.0,0.02,,,,,,,,,,,,
42,CAN,2020-03-06,51,0.0,0.0,51,37.0,6,13.33,0.13,0.0,0.0,0.0,100.0,51.0,0.13,,,,,,,,,,,,
43,ON,2020-03-07,28,0.0,0.0,28,,0,0.0,0.19,0.0,0.0,0.0,100.0,28.0,0.19,,,,,,,,,,,,
44,BC,2020-03-07,27,0.0,0.0,27,322.0,6,28.57,0.52,0.0,0.0,0.0,100.0,27.0,0.52,,,,,,,,,,,,
45,QC,2020-03-07,2,0.0,0.0,2,13.0,0,0.0,0.02,0.0,0.0,0.0,100.0,2.0,0.02,,,,,,,,,,,,
46,CAN,2020-03-07,57,0.0,0.0,57,46.0,6,11.76,0.15,0.0,0.0,0.0,100.0,57.0,0.15,,,,,,,,,,,,
47,ON,2020-03-08,31,0.0,0.0,31,,3,10.71,0.21,0.0,0.0,0.0,100.0,31.0,0.21,,,,,,,,,,,,
48,BC,2020-03-08,27,0.0,1.0,27,481.0,0,0.0,0.52,0.02,1.0,3.7,96.3,26.0,0.51,,,,,,,,,,,,
49,QC,2020-03-08,3,0.0,0.0,3,19.0,1,50.0,0.03,0.0,0.0,0.0,100.0,3.0,0.03,,,,,,,,,,,,
50,AB,2020-03-08,1,0.0,0.0,1,14.0,1,100.0,0.02,0.0,0.0,0.0,100.0,1.0,0.02,,,,,,,,,,,,
51,CAN,2020-03-08,62,0.0,1.0,62,71.0,5,8.77,0.16,0.0,1.0,1.61,98.39,61.0,0.16,,,,,,,,,,,,
52,ON,2020-03-09,34,0.0,0.0,34,,3,9.68,0.23,0.0,0.0,0.0,100.0,34.0,0.23,,,,,,,,,,,,
53,BC,2020-03-09,32,0.0,1.0,32,581.0,5,18.52,0.62,0.02,0.0,3.13,96.88,31.0,0.6,,,,,,,,,,,,
54,QC,2020-03-09,4,0.0,0.0,4,23.0,1,33.33,0.05,0.0,0.0,0.0,100.0,4.0,0.05,,,,,,,,,,,,
55,AB,2020-03-09,7,0.0,0.0,7,77.0,6,600.0,0.16,0.0,0.0,0.0,100.0,7.0,0.16,,,,,,,,,,,,
56,CAN,2020-03-09,77,0.0,1.0,77,93.0,15,24.19,0.2,0.0,0.0,1.3,98.7,76.0,0.2,,,,,,,,,,,,
57,BC,2020-03-11,39,0.0,1.0,39,689.0,7,21.88,0.76,0.02,0.0,2.56,97.44,38.0,0.74,,,,,,,,,,,,
58,AB,2020-03-11,14,0.0,0.0,14,223.0,7,100.0,0.32,0.0,0.0,0.0,100.0,14.0,0.32,,,,,,,,,,,,
59,SK,2020-03-11,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
60,MB,2020-03-11,0,0.0,0.0,0,9.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
61,ON,2020-03-11,42,0.0,1.0,42,,8,23.53,0.29,0.01,1.0,2.38,97.62,41.0,0.28,,,,,,,,,,,,
62,QC,2020-03-11,7,0.0,0.0,7,31.0,3,75.0,0.08,0.0,0.0,0.0,100.0,7.0,0.08,,,,,,,,,,,,
63,NB,2020-03-11,0,0.0,0.0,0,8.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
64,NL,2020-03-11,0,0.0,0.0,0,8.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
65,NS,2020-03-11,0,0.0,0.0,0,3.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
66,PEI,2020-03-11,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
67,NT,2020-03-11,0,0.0,0.0,0,44.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
68,NU,2020-03-11,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
69,YT,2020-03-11,0,0.0,0.0,0,547.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
71,CAN,2020-03-11,103,0.0,2.0,103,128.0,26,33.77,0.27,0.01,1.0,1.94,98.06,101.0,0.27,,,,,,,,,,,,
72,BC,2020-03-12,46,0.0,1.0,46,846.0,7,17.95,0.89,0.02,0.0,2.17,97.83,45.0,0.87,,,,,,,,,,,,
73,AB,2020-03-12,19,0.0,0.0,19,400.0,5,35.71,0.43,0.0,0.0,0.0,100.0,19.0,0.43,,,,,,,,,,,,
74,SK,2020-03-12,0,1.0,0.0,1,,1,0.0,0.08,0.0,0.0,0.0,100.0,1.0,0.08,,,,,,,,,,,,
75,MB,2020-03-12,0,1.0,0.0,1,85.0,1,0.0,0.07,0.0,0.0,0.0,100.0,1.0,0.07,,,,,,,,,,,,
76,ON,2020-03-12,59,0.0,1.0,59,,17,40.48,0.4,0.01,0.0,1.69,98.31,58.0,0.39,,,,,,,,,,,,
77,QC,2020-03-12,13,0.0,0.0,13,46.0,6,85.71,0.15,0.0,0.0,0.0,100.0,13.0,0.15,,,,,,,,,,,,
78,NL,2020-03-12,0,0.0,0.0,0,52.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
79,NB,2020-03-12,0,1.0,0.0,1,26.0,1,0.0,0.13,0.0,0.0,0.0,100.0,1.0,0.13,,,,,,,,,,,,
80,NS,2020-03-12,0,0.0,0.0,0,16.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
81,PEI,2020-03-12,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
82,YT,2020-03-12,0,0.0,0.0,0,809.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
83,NT,2020-03-12,0,0.0,0.0,0,111.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
84,NU,2020-03-12,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
86,CAN,2020-03-12,138,3.0,2.0,141,177.0,38,36.89,0.37,0.01,0.0,1.42,98.58,139.0,0.37,,,,,,,,,,,,
87,BC,2020-03-13,53,0.0,1.0,53,1089.0,7,15.22,1.03,0.02,0.0,1.89,98.11,52.0,1.01,,,,,,,,,,,,
88,AB,2020-03-13,23,0.0,0.0,23,702.0,4,21.05,0.52,0.0,0.0,0.0,100.0,23.0,0.52,,,,,,,,,,,,
89,SK,2020-03-13,0,1.0,0.0,1,,0,0.0,0.08,0.0,0.0,0.0,100.0,1.0,0.08,,,,,,,,,,,,
90,MB,2020-03-13,1,2.0,0.0,3,226.0,2,200.0,0.22,0.0,0.0,0.0,100.0,3.0,0.22,,,,,,,,,,,,
91,ON,2020-03-13,79,0.0,1.0,79,,20,33.9,0.54,0.01,0.0,1.27,98.73,78.0,0.53,,,,,,,,,,,,
92,QC,2020-03-13,17,0.0,0.0,17,71.0,4,30.77,0.2,0.0,0.0,0.0,100.0,17.0,0.2,,,,,,,,,,,,
93,NL,2020-03-13,0,0.0,0.0,0,149.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
94,NB,2020-03-13,1,0.0,0.0,1,122.0,0,0.0,0.13,0.0,0.0,0.0,100.0,1.0,0.13,,,,,,,,,,,,
95,NS,2020-03-13,0,0.0,0.0,0,16.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
96,PEI,2020-03-13,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
97,YT,2020-03-13,0,0.0,0.0,0,856.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
98,NT,2020-03-13,0,0.0,0.0,0,531.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
99,NU,2020-03-13,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
101,CAN,2020-03-13,176,3.0,2.0,179,260.0,38,26.95,0.47,0.01,0.0,1.12,98.88,177.0,0.47,,,,,,,,,,,,
102,BC,2020-03-14,64,0.0,1.0,64,1316.0,11,20.75,1.24,0.02,0.0,1.56,98.44,63.0,1.22,,,,,,,,,,,,
103,AB,2020-03-14,29,0.0,0.0,29,961.0,6,26.09,0.66,0.0,0.0,0.0,100.0,29.0,0.66,,,,,,,,,,,,
104,SK,2020-03-14,0,2.0,0.0,2,,1,100.0,0.17,0.0,0.0,0.0,100.0,2.0,0.17,,,,,,,,,,,,
105,MB,2020-03-14,1,3.0,0.0,4,444.0,1,33.33,0.29,0.0,0.0,0.0,100.0,4.0,0.29,,,,,,,,,,,,
106,ON,2020-03-14,79,0.0,1.0,79,,0,0.0,0.54,0.01,0.0,1.27,98.73,78.0,0.53,,,,,,,,,,,,
107,QC,2020-03-14,17,0.0,0.0,17,111.0,0,0.0,0.2,0.0,0.0,0.0,100.0,17.0,0.2,,,,,,,,,,,,
108,NL,2020-03-14,0,0.0,0.0,0,333.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
109,NB,2020-03-14,1,1.0,0.0,2,242.0,1,100.0,0.26,0.0,0.0,0.0,100.0,2.0,0.26,,,,,,,,,,,,
110,NS,2020-03-14,0,0.0,0.0,0,170.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
111,PEI,2020-03-14,0,0.0,0.0,0,,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
112,YT,2020-03-14,0,0.0,0.0,0,880.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
113,NT,2020-03-14,0,0.0,0.0,0,1107.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
114,NU,2020-03-14,0,0.0,0.0,0,25.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
116,CAN,2020-03-14,193,6.0,2.0,199,348.0,20,11.17,0.52,0.01,0.0,1.01,98.99,197.0,0.52,,,,,,,,,,,,
117,BC,2020-03-15,73,0.0,1.0,73,1615.0,9,14.06,1.42,0.02,0.0,1.37,98.63,72.0,1.4,,,,,,,,,,,,
118,AB,2020-03-15,39,0.0,0.0,39,1320.0,10,34.48,0.88,0.0,0.0,0.0,100.0,39.0,0.88,,,,,,,,,,,,
119,SK,2020-03-15,0,2.0,0.0,2,,0,0.0,0.17,0.0,0.0,0.0,100.0,2.0,0.17,,,,,,,,,,,,
120,MB,2020-03-15,4,0.0,0.0,4,747.0,0,0.0,0.29,0.0,0.0,0.0,100.0,4.0,0.29,,,,,,,,,,,,
121,ON,2020-03-15,103,0.0,1.0,103,,24,30.38,0.7,0.01,0.0,0.97,99.03,102.0,0.69,,,,,,,,,,,,
122,QC,2020-03-15,24,0.0,0.0,24,143.0,7,41.18,0.28,0.0,0.0,0.0,100.0,24.0,0.28,,,,,,,,,,,,
123,NL,2020-03-15,0,1.0,0.0,1,542.0,1,0.0,0.19,0.0,0.0,0.0,100.0,1.0,0.19,,,,,,,,,,,,
124,NB,2020-03-15,1,1.0,0.0,2,252.0,0,0.0,0.26,0.0,0.0,0.0,100.0,2.0,0.26,,,,,,,,,,,,
125,NS,2020-03-15,0,0.0,0.0,0,343.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
126,PEI,2020-03-15,1,0.0,0.0,1,,1,0.0,0.63,0.0,0.0,0.0,100.0,1.0,0.63,,,,,,,,,,,,
127,YT,2020-03-15,0,0.0,0.0,0,1165.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
128,NT,2020-03-15,0,0.0,0.0,0,1439.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
129,NU,2020-03-15,0,0.0,0.0,0,25.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
131,CAN,2020-03-15,249,4.0,2.0,253,457.0,54,27.14,0.67,0.01,0.0,0.79,99.21,251.0,0.66,,,,,,,,,,,,
132,BC,2020-03-16,73,0.0,4.0,73,1916.0,0,0.0,1.42,0.08,3.0,5.48,94.52,69.0,1.34,,,,,,,,,,,,
133,AB,2020-03-16,56,0.0,0.0,56,1671.0,17,43.59,1.27,0.0,0.0,0.0,100.0,56.0,1.27,,,,,,,,,,,,
134,SK,2020-03-16,1,5.0,0.0,6,,4,200.0,0.51,0.0,0.0,0.0,100.0,6.0,0.51,,,,,,,,,,,,
135,MB,2020-03-16,4,3.0,0.0,7,998.0,3,75.0,0.51,0.0,0.0,0.0,100.0,7.0,0.51,,,,,,,,,,,,
136,ON,2020-03-16,145,0.0,1.0,145,,42,40.78,0.98,0.01,0.0,0.69,99.31,144.0,0.98,,,,,,,,,,,,
137,QC,2020-03-16,39,0.0,0.0,39,222.0,15,62.5,0.45,0.0,0.0,0.0,100.0,39.0,0.45,,,,,,,,,,,,
138,NL,2020-03-16,0,1.0,0.0,1,735.0,0,0.0,0.19,0.0,0.0,0.0,100.0,1.0,0.19,,,,,,,,,,,,
139,NB,2020-03-16,1,5.0,0.0,6,288.0,4,200.0,0.77,0.0,0.0,0.0,100.0,6.0,0.77,,,,,,,,,,,,
140,NS,2020-03-16,0,3.0,0.0,3,554.0,3,0.0,0.31,0.0,0.0,0.0,100.0,3.0,0.31,,,,,,,,,,,,
141,PEI,2020-03-16,1,0.0,0.0,1,263.0,0,0.0,0.63,0.0,0.0,0.0,100.0,1.0,0.63,,,,,,,,,,,,
142,YT,2020-03-16,0,0.0,0.0,0,1165.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
143,NT,2020-03-16,0,0.0,0.0,0,1771.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
144,NU,2020-03-16,0,0.0,0.0,0,51.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
146,CAN,2020-03-16,324,17.0,5.0,341,576.0,88,34.78,0.9,0.01,3.0,1.47,98.53,336.0,0.88,,,,,,,,,,,,
147,BC,2020-03-17,103,0.0,7.0,103,2268.0,30,41.1,2.0,0.14,3.0,6.8,93.2,96.0,1.86,,,,,,,,,,,,
148,AB,2020-03-17,74,0.0,0.0,74,2086.0,18,32.14,1.67,0.0,0.0,0.0,100.0,74.0,1.67,,,,,,,,,,,,
149,SK,2020-03-17,2,5.0,0.0,7,,1,16.67,0.59,0.0,0.0,0.0,100.0,7.0,0.59,,,,,,,,,,,,
150,MB,2020-03-17,7,0.0,0.0,7,1191.0,0,0.0,0.51,0.0,0.0,0.0,100.0,7.0,0.51,,,,,,,,,,,,
151,ON,2020-03-17,177,0.0,1.0,177,,32,22.07,1.2,0.01,0.0,0.56,99.44,176.0,1.19,,,,,,,,,,,,
152,QC,2020-03-17,50,0.0,0.0,50,312.0,11,28.21,0.58,0.0,0.0,0.0,100.0,50.0,0.58,,,,,,,,,,,,
153,NL,2020-03-17,0,1.0,0.0,1,829.0,0,0.0,0.19,0.0,0.0,0.0,100.0,1.0,0.19,,,,,,,,,,,,
154,NB,2020-03-17,2,5.0,0.0,7,448.0,1,16.67,0.9,0.0,0.0,0.0,100.0,7.0,0.9,,,,,,,,,,,,
155,NS,2020-03-17,0,5.0,0.0,5,662.0,2,66.67,0.51,0.0,0.0,0.0,100.0,5.0,0.51,,,,,,,,,,,,
156,PEI,2020-03-17,1,0.0,0.0,1,263.0,0,0.0,0.63,0.0,0.0,0.0,100.0,1.0,0.63,,,,,,,,,,,,
157,YT,2020-03-17,0,0.0,0.0,0,1784.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
158,NT,2020-03-17,0,0.0,0.0,0,2524.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
159,NU,2020-03-17,0,0.0,0.0,0,51.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
161,CAN,2020-03-17,424,16.0,8.0,440,708.0,99,29.03,1.16,0.02,3.0,1.82,98.18,432.0,1.14,,,,,,,,,,,,
162,BC,2020-03-18,186,0.0,7.0,186,2951.0,83,80.58,3.61,0.14,0.0,3.76,96.24,179.0,3.48,,,,,,,,,,,,
163,AB,2020-03-18,97,0.0,0.0,97,2422.0,23,31.08,2.19,0.0,0.0,0.0,100.0,97.0,2.19,,,,,,,,,,,,
164,SK,2020-03-18,2,6.0,0.0,8,162.0,1,14.29,0.68,0.0,0.0,0.0,100.0,8.0,0.68,,,,,,,,,,,,
165,MB,2020-03-18,8,7.0,0.0,15,1490.0,8,114.29,1.09,0.0,0.0,0.0,100.0,15.0,1.09,,,,,,,,,,,,
166,ON,2020-03-18,189,0.0,1.0,189,,12,6.78,1.28,0.01,0.0,0.53,99.47,188.0,1.28,,,,,,,,,,,,
167,QC,2020-03-18,74,0.0,1.0,74,441.0,24,48.0,0.86,0.01,1.0,1.35,98.65,73.0,0.85,,,,,,,,,,,,
168,NL,2020-03-18,0,3.0,0.0,3,1105.0,2,200.0,0.57,0.0,0.0,0.0,100.0,3.0,0.57,,,,,,,,,,,,
169,NB,2020-03-18,2,6.0,0.0,8,559.0,1,14.29,1.02,0.0,0.0,0.0,100.0,8.0,1.02,,,,,,,,,,,,
170,NS,2020-03-18,1,6.0,0.0,7,1002.0,2,40.0,0.71,0.0,0.0,0.0,100.0,7.0,0.71,,,,,,,,,,,,
171,PEI,2020-03-18,1,0.0,0.0,1,263.0,0,0.0,0.63,0.0,0.0,0.0,100.0,1.0,0.63,,,,,,,,,,,,
172,YT,2020-03-18,0,0.0,0.0,0,1784.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
173,NT,2020-03-18,0,0.0,0.0,0,2679.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
174,NU,2020-03-18,0,0.0,0.0,0,51.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
176,CAN,2020-03-18,569,28.0,9.0,597,900.0,157,35.68,1.57,0.02,1.0,1.51,98.49,588.0,1.55,,,,,,,,,,,,
177,BC,2020-03-19,271,0.0,8.0,271,3544.0,85,45.7,5.26,0.16,1.0,2.95,97.05,263.0,5.11,,,,,,,,,,,,
178,AB,2020-03-19,146,0.0,1.0,146,2893.0,49,50.52,3.3,0.02,1.0,0.68,99.32,145.0,3.28,,,,,,,,,,,,
179,SK,2020-03-19,8,12.0,0.0,20,901.0,12,150.0,1.7,0.0,0.0,0.0,100.0,20.0,1.7,,,,,,,,,,,,
180,MB,2020-03-19,17,0.0,0.0,17,1884.0,2,13.33,1.23,0.0,0.0,0.0,100.0,17.0,1.23,,,,,,,,,,,,
181,ON,2020-03-19,258,0.0,2.0,258,,69,36.51,1.75,0.01,1.0,0.78,99.22,256.0,1.74,,,,,,,,,,,,
182,QC,2020-03-19,121,0.0,1.0,121,615.0,47,63.51,1.41,0.01,0.0,0.83,99.17,120.0,1.4,,,,,,,,,,,,
183,NL,2020-03-19,1,2.0,0.0,3,1544.0,0,0.0,0.57,0.0,0.0,0.0,100.0,3.0,0.57,,,,,,,,,,,,
184,NB,2020-03-19,7,4.0,0.0,11,695.0,3,37.5,1.41,0.0,0.0,0.0,100.0,11.0,1.41,,,,,,,,,,,,
185,NS,2020-03-19,5,9.0,0.0,14,1222.0,7,100.0,1.43,0.0,0.0,0.0,100.0,14.0,1.43,,,,,,,,,,,,
186,PEI,2020-03-19,2,0.0,0.0,2,263.0,1,100.0,1.25,0.0,0.0,0.0,100.0,2.0,1.25,,,,,,,,,,,,
187,YT,2020-03-19,0,0.0,0.0,0,1902.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
188,NT,2020-03-19,0,0.0,0.0,0,2724.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
189,NU,2020-03-19,0,0.0,0.0,0,102.0,0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
191,CAN,2020-03-19,846,27.0,12.0,873,1126.0,276,46.23,2.3,0.03,3.0,1.37,98.63,861.0,2.27,,,,,,,,,,,,
192,BC,2020-03-20,271,0.0,9.0,271,3767.0,0,0.0,5.26,0.17,1.0,3.32,96.68,262.0,5.09,,,,,,,,,,,,
193,AB,2020-03-20,195,0.0,1.0,195,3544.0,49,33.56,4.41,0.02,0.0,0.51,99.49,194.0,4.39,,,,,,,,,,,,
194,SK,2020-03-20,8,18.0,0.0,26,1396.0,6,30.0,2.21,0.0,0.0,0.0,100.0,26.0,2.21,,,,,,,,,,,,
195,MB,2020-03-20,17,0.0,0.0,17,2211.0,0,0.0,1.23,0.0,0.0,0.0,100.0,17.0,1.23,,,,,,,,,,,,
196,ON,2020-03-20,311,0.0,2.0,311,,53,20.54,2.11,0.01,0.0,0.64,99.36,309.0,2.1,,,,,,,,,,,,
197,QC,2020-03-20,139,0.0,1.0,139,787.0,18,14.88,1.62,0.01,0.0,0.72,99.28,138.0,1.61,,,,,,,,,,,,
198,NL,2020-03-20,3,1.0,0.0,4,2084.0,1,33.33,0.77,0.0,0.0,0.0,100.0,4.0,0.77,,,,,,,,,,,,
199,NB,2020-03-20,7,4.0,0.0,11,852.0,0,0.0,1.41,0.0,0.0,0.0,100.0,11.0,1.41,,,,,,,,,,,,
200,NS,2020-03-20,5,10.0,0.0,15,1403.0,1,7.14,1.53,0.0,0.0,0.0,100.0,15.0,1.53,,,,,,,,,,,,
