,Province,date,numconf,numprob,numdeaths,numtotal,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
6180,MB,2021-04-23,37063,0.0,964.0,37063,472530.0,175,0.47,2687.16,69.89,2.0,2.6,4.68,1733.0,125.65,2094.0,151.82,15.0,1.09,1254.0,90.92,9.0,0.65,179.0,12.99,1.0,0.09
6181,ON,2021-04-23,437310,0.0,7863.0,437310,921108.0,4505,1.04,2968.03,53.37,34.0,1.8,9.54,41735.0,283.26,58971.0,400.24,351.0,2.38,28927.0,196.33,199.0,1.35,4132.0,28.05,28.0,0.19
6182,QC,2021-04-23,342688,0.0,10856.0,342688,932608.0,1043,0.31,3996.56,126.61,11.0,3.17,3.36,11530.0,134.47,19594.0,228.51,132.0,1.54,8617.0,100.49,71.0,0.83,1231.0,14.36,10.0,0.12
6183,NL,2021-04-23,1053,0.0,6.0,1053,454945.0,1,0.1,201.68,1.15,0.0,0.57,2.47,26.0,4.98,28.0,5.36,0.0,0.0,14.0,2.68,0.0,0.0,2.0,0.38,0.0,0.0
6184,NB,2021-04-23,1839,0.0,34.0,1839,370033.0,16,0.88,235.32,4.35,0.0,1.85,8.1,149.0,19.07,145.0,18.55,2.0,0.26,72.0,9.21,1.0,0.13,10.0,1.32,0.0,0.02
6185,NS,2021-04-23,1938,0.0,67.0,1938,491580.0,44,2.32,197.89,6.84,0.0,3.46,7.74,150.0,15.32,182.0,18.58,1.0,0.1,146.0,14.91,0.0,0.0,21.0,2.13,0.0,0.0
6186,PEI,2021-04-23,175,0.0,0.0,175,861601.0,0,0.0,109.63,0.0,0.0,0.0,6.29,11.0,6.89,13.0,8.14,0.0,0.0,8.0,5.01,0.0,0.0,1.0,0.72,0.0,0.0
6187,YT,2021-04-23,80,0.0,1.0,80,210406.0,2,2.56,190.24,2.38,0.0,1.25,2.5,2.0,4.76,6.0,14.27,0.0,0.0,4.0,9.51,0.0,0.0,1.0,1.36,0.0,0.0
6188,NT,2021-04-23,48,0.0,0.0,48,385222.0,2,4.35,106.29,0.0,0.0,0.0,10.42,5.0,11.07,5.0,11.07,0.0,0.0,5.0,11.07,0.0,0.0,1.0,1.58,0.0,0.0
6189,NU,2021-04-23,441,0.0,4.0,441,275354.0,9,2.08,1120.63,10.16,0.0,0.91,8.39,37.0,94.02,46.0,116.89,0.0,0.0,33.0,83.86,0.0,0.0,5.0,11.98,0.0,0.0
6191,CAN,2021-04-23,1164580,0.0,23879.0,1164580,804081.0,8738,0.76,3064.26,62.83,57.0,2.05,7.42,86358.0,227.23,119303.0,313.91,630.0,1.66,58515.0,153.97,338.0,0.89,8359.0,22.0,48.0,0.13
6192,BC,2021-04-24,124639,0.0,1563.0,124639,470120.0,881,0.71,2421.25,30.36,9.0,1.25,7.97,9937.0,193.04,13816.0,268.39,59.0,1.15,6532.0,126.89,33.0,0.64,933.0,18.13,5.0,0.09
6193,AB,2021-04-24,180369,0.0,2064.0,180369,910055.0,1592,0.89,4079.02,46.68,5.0,1.14,10.92,19702.0,445.56,20650.0,467.0,52.0,1.18,11090.0,250.8,27.0,0.61,1584.0,35.83,4.0,0.09
6194,SK,2021-04-24,39683,0.0,473.0,39683,631943.0,286,0.73,3366.73,40.13,2.0,1.19,6.45,2558.0,217.02,3699.0,313.83,20.0,1.7,1812.0,153.73,9.0,0.76,259.0,21.96,1.0,0.11
6195,MB,2021-04-24,37339,0.0,967.0,37339,476434.0,276,0.74,2707.17,70.11,3.0,2.59,5.06,1891.0,137.1,2238.0,162.26,18.0,1.31,1350.0,97.88,9.0,0.65,193.0,13.98,1.0,0.09
